year,month,day,week_of_summer,sea_temp_c,wave_height_m,wind_speed_kmh,current_strength,weather_condition,uv_index,historical_incidents,crowd_level,is_safe
2023,8,13,7,28.9,0.15,5.7,2.3,Clear,9.4,0,Medium,1
2023,8,14,7,30.5,1.42,32.0,7.2,Clear,10.5,0,High,0
2023,8,15,7,26.8,0.87,26.5,3.5,Clear,10.3,1,High,1
2023,8,16,7,27.8,0.99,20.6,5.0,Clear,10.2,3,Medium,0
2023,8,17,7,28.4,0.22,22.2,1.0,Windy,7.5,0,Low,1
2023,8,18,7,28.6,0.27,13.5,0.7,Clear,8.7,0,Medium,0
2023,8,19,7,28.6,1.08,24.8,5.1,Partly Cloudy,8.2,3,Medium,0
2023,8,20,8,27.3,0.83,20.5,7.6,Clear,10.7,3,Medium,1
2023,8,21,8,26.7,0.34,21.0,1.8,Windy,10.6,0,Low,1
2023,8,22,8,28.8,1.21,22.3,4.8,Clear,8.7,3,High,0
2023,8,23,8,27.6,0.5,14.3,2.3,Clear,8.1,0,High,1
2023,8,24,8,27.0,0.4,34.2,3.9,Windy,8.9,1,Medium,1
2023,8,25,8,30.5,1.25,25.5,5.5,Clear,7.9,2,Medium,0
2023,8,26,8,25.8,0.14,20.1,5.2,Clear,6.6,1,Low,1
2023,8,27,9,29.2,0.37,24.7,2.4,Partly Cloudy,7.9,0,Medium,1
2023,8,28,9,30.9,0.75,13.2,3.6,Partly Cloudy,8.8,1,High,1
2023,8,29,9,27.6,0.47,22.3,4.7,Clear,10.3,2,Medium,0
2023,8,30,9,27.6,1.02,18.9,2.6,Windy,9.0,2,Low,0
2023,9,1,9,24.2,1.06,20.7,4.8,Partly Cloudy,10.4,1,Medium,1
2023,9,2,9,26.1,1.2,27.0,5.4,Windy,10.2,2,High,0
2023,9,3,9,26.9,0.23,25.0,4.5,Partly Cloudy,6.6,1,High,1
2023,9,4,10,26.3,0.24,0.6,1.0,Partly Cloudy,12.0,0,High,1
2023,9,5,10,28.1,0.84,19.7,4.9,Clear,11.8,4,Low,0
2023,9,6,10,27.6,1.62,22.2,6.5,Clear,8.8,1,Medium,0
2023,9,7,10,27.0,0.63,7.7,1.4,Partly Cloudy,6.7,0,Low,1
2023,9,8,10,25.7,0.48,17.6,3.0,Partly Cloudy,10.0,1,Medium,1
2023,9,9,10,25.0,0.53,18.0,3.6,Partly Cloudy,9.0,0,High,1
2023,9,10,10,26.0,1.63,9.1,7.2,Clear,5.0,2,Low,0
2023,9,11,11,25.8,0.81,24.7,3.6,Clear,10.4,0,Medium,1
2023,9,12,11,27.5,0.64,17.0,4.1,Clear,7.4,0,Medium,1
2023,9,13,11,26.3,0.7,31.2,4.2,Clear,9.9,0,Low,1
2023,9,14,11,25.6,0.07,32.1,2.2,Clear,7.8,1,Medium,1
2023,9,15,11,23.5,1.28,19.7,5.7,Partly Cloudy,10.5,2,Medium,0
2023,9,16,11,26.0,0.93,35.7,4.3,Stormy,8.7,0,High,0
2023,9,17,11,24.0,0.82,40.5,6.6,Windy,11.4,3,Medium,0
2023,9,18,12,27.9,0.46,19.6,1.9,Clear,9.9,0,Medium,1
2023,9,19,12,26.7,0.1,44.8,3.5,Windy,9.9,0,Medium,0
2023,9,20,12,24.2,1.06,12.4,4.4,Partly Cloudy,11.7,1,High,1
2023,9,21,12,24.7,0.97,3.9,4.4,Clear,8.9,0,Medium,1
2023,9,22,12,26.7,0.93,29.7,6.4,Windy,10.6,4,High,0
2023,9,23,12,26.3,0.09,21.1,2.3,Windy,8.9,2,High,1
2023,9,24,12,26.8,0.04,22.0,1.3,Partly Cloudy,10.9,0,Medium,1
2023,9,25,13,25.2,1.02,24.9,5.8,Partly Cloudy,9.1,6,Medium,0
2023,9,26,13,27.3,0.07,3.9,0.0,Clear,10.2,0,Medium,1
2023,9,27,13,23.7,0.12,19.9,2.0,Windy,8.8,2,Medium,0
2023,9,28,13,25.0,0.67,21.9,4.5,Clear,12.0,0,Medium,1
2023,9,29,13,25.2,1.08,29.4,5.6,Partly Cloudy,9.5,1,Medium,1
2023,9,30,13,25.5,0.26,19.3,2.4,Clear,9.9,4,Medium,0
2024,7,1,1,24.4,0.1,25.1,1.8,Clear,8.2,1,Medium,1
2024,7,2,1,26.8,0.4,26.4,4.5,Clear,11.8,7,Medium,0
2024,7,3,1,25.7,0.79,15.0,3.0,Partly Cloudy,9.6,2,Medium,0
2024,7,4,1,26.0,0.61,18.7,4.5,Clear,7.0,1,High,1
2024,7,5,1,26.4,0.71,22.9,4.6,Clear,9.3,0,Medium,1
2024,7,6,1,27.0,0.65,12.4,4.4,Clear,6.7,4,High,1
2024,7,7,1,28.4,0.57,13.6,5.0,Clear,7.2,2,Low,0
2024,7,8,2,26.3,0.09,25.0,3.4,Clear,8.9,1,Medium,1
2024,7,9,2,27.6,0.52,12.3,2.1,Clear,7.1,1,High,1
2024,7,10,2,28.2,0.74,21.7,4.9,Partly Cloudy,9.7,1,Low,1
2024,7,11,2,28.0,0.8,9.8,3.3,Clear,8.0,0,Medium,1
2024,7,12,2,28.7,0.04,22.5,1.7,Clear,10.5,0,Low,1
2024,7,13,2,29.5,0.4,36.6,2.7,Windy,9.0,0,Medium,0
2024,7,14,2,25.8,0.6,8.7,4.2,Partly Cloudy,10.3,0,Medium,1
2024,7,15,3,26.2,0.33,10.0,1.7,Partly Cloudy,10.5,0,Low,1
2024,7,16,3,27.2,1.16,25.4,6.1,Partly Cloudy,8.0,5,High,0
2024,7,17,3,26.3,1.13,21.2,7.7,Partly Cloudy,8.0,4,High,0
2024,7,18,3,25.9,2.97,33.7,7.5,Stormy,10.1,2,Medium,0
2024,7,19,3,27.0,0.86,14.1,5.6,Clear,6.7,4,Medium,0
2024,7,20,3,28.9,1.19,29.0,5.9,Partly Cloudy,9.6,2,High,0
2024,7,21,3,26.5,1.07,22.3,5.1,Clear,5.6,1,Medium,1
2024,7,22,4,26.8,0.92,8.0,4.7,Clear,7.9,2,Low,0
2024,7,23,4,24.0,0.7,15.9,4.9,Clear,11.3,0,Low,0
2024,7,24,4,27.5,0.94,36.9,6.8,Windy,8.9,2,Medium,0
2024,7,25,4,27.4,0.62,23.9,4.2,Clear,8.1,0,High,1
2024,7,26,4,26.5,0.97,20.8,6.0,Clear,4.7,2,Medium,0
2024,7,27,4,27.2,0.18,19.2,3.8,Windy,10.3,2,Medium,0
2024,7,28,4,27.1,0.42,18.5,3.3,Partly Cloudy,9.7,0,Medium,1
2024,7,29,5,25.6,0.72,26.0,4.5,Partly Cloudy,11.4,2,Medium,0
2024,7,30,5,27.0,0.89,23.1,6.3,Clear,8.6,1,Medium,1
2024,8,1,5,29.9,0.26,10.1,0.0,Clear,7.1,0,Medium,1
2024,8,2,5,27.3,0.32,36.0,5.6,Clear,8.5,1,Medium,0
2024,8,3,5,29.7,0.13,36.6,4.8,Partly Cloudy,9.9,1,Low,1
2024,8,4,5,29.0,0.9,20.2,4.8,Clear,8.9,2,Medium,0
2024,8,5,5,26.8,0.16,19.4,3.8,Clear,11.3,0,Medium,1
2024,8,6,6,28.9,0.82,10.3,3.6,Partly Cloudy,7.0,0,Medium,1
2024,8,7,6,28.0,0.82,19.8,5.8,Clear,9.7,3,Medium,0
2024,8,8,6,28.2,1.06,15.6,4.5,Clear,10.1,3,Medium,0
2024,8,9,6,27.0,1.46,8.5,5.5,Partly Cloudy,8.5,0,Low,0
2024,8,10,6,28.5,0.99,35.7,6.0,Partly Cloudy,6.9,3,Medium,0
2024,8,11,6,29.2,1.04,20.4,4.6,Partly Cloudy,8.4,0,High,1
2024,8,12,6,27.8,0.16,12.3,1.1,Clear,8.7,0,High,1
2024,8,13,7,29.2,0.64,21.7,6.2,Clear,10.8,5,Medium,0
2024,8,14,7,26.5,0.82,10.6,3.7,Clear,6.9,2,Medium,0
2024,8,15,7,26.7,0.47,27.7,4.3,Clear,7.9,1,High,1
2024,8,16,7,28.3,0.17,19.8,0.9,Windy,8.6,0,Medium,1
2024,8,17,7,28.5,2.69,30.0,10.0,Stormy,9.1,6,Medium,0
2024,8,18,7,27.9,0.19,34.4,3.5,Windy,9.3,3,High,0
2024,8,19,7,25.0,0.63,15.0,2.4,Clear,9.1,1,Medium,1
2024,8,20,8,28.6,0.22,16.8,1.1,Partly Cloudy,9.9,0,Low,1
2024,8,21,8,27.7,1.86,30.6,6.4,Stormy,8.1,2,High,0
2024,8,22,8,27.6,0.01,25.3,3.1,Clear,12.0,0,High,1
2024,8,23,8,27.4,0.13,27.7,2.8,Partly Cloudy,8.1,0,Medium,1
2024,8,24,8,24.9,0.64,9.1,1.8,Clear,9.0,0,High,1
2024,8,25,8,26.6,0.58,27.3,3.6,Clear,6.9,4,Medium,0
2024,8,26,8,26.1,0.04,14.7,1.5,Partly Cloudy,10.4,0,High,1
2024,8,27,9,27.2,0.67,8.5,2.9,Partly Cloudy,12.0,0,Low,1
2024,8,28,9,28.2,0.28,28.4,2.7,Partly Cloudy,7.0,1,Low,1
2024,8,29,9,29.4,0.89,26.0,4.5,Partly Cloudy,7.1,0,Medium,1
2024,8,30,9,27.4,1.7,51.1,7.7,Stormy,10.4,5,Medium,0
2024,9,1,9,28.5,0.16,25.8,1.8,Windy,10.3,2,Medium,0
2024,9,2,9,25.3,1.09,16.9,5.8,Partly Cloudy,10.1,3,Low,0
2024,9,3,9,26.5,0.34,13.8,3.0,Clear,9.7,1,Medium,1
2024,9,4,10,26.9,1.32,23.0,6.6,Partly Cloudy,10.4,2,Medium,0
2024,9,5,10,27.5,0.43,20.1,1.9,Partly Cloudy,7.2,0,High,1
2024,9,6,10,26.5,0.02,21.1,0.5,Windy,7.8,0,Medium,1
2024,9,7,10,26.3,0.97,6.7,1.8,Partly Cloudy,10.7,0,Medium,1
2024,9,8,10,25.3,0.37,19.5,4.6,Partly Cloudy,12.0,3,High,0
2024,9,9,10,27.3,0.34,25.6,4.3,Clear,7.3,1,Low,1
2024,9,10,10,25.8,1.21,23.0,4.9,Partly Cloudy,11.8,1,Medium,1
2024,9,11,11,27.4,0.17,8.0,1.7,Clear,9.2,0,High,1
2024,9,12,11,23.9,1.01,24.6,4.3,Windy,9.6,1,Low,1
2024,9,13,11,22.6,0.54,25.2,4.9,Clear,7.5,3,Low,0
2024,9,14,11,26.4,0.25,11.4,1.7,Clear,9.6,0,Medium,1
2024,9,15,11,26.0,0.3,1.4,1.9,Clear,9.4,0,High,1
2024,9,16,11,26.1,0.03,13.8,2.2,Clear,7.1,0,Medium,1
2024,9,17,11,24.1,1.07,21.1,3.6,Windy,7.5,2,High,0
2024,9,18,12,26.1,0.57,22.3,1.6,Windy,8.9,1,Medium,1
2024,9,19,12,25.1,0.63,29.2,4.9,Clear,8.0,1,High,1
2024,9,20,12,25.0,1.77,26.3,4.6,Stormy,6.7,4,Medium,0
2024,9,21,12,27.6,0.37,3.4,1.7,Partly Cloudy,11.8,0,Medium,1
2024,9,22,12,27.3,0.11,18.9,3.2,Clear,10.0,2,High,0
2024,9,23,12,25.3,0.39,20.4,4.0,Clear,12.0,0,High,1
2024,9,24,12,24.7,0.81,18.0,4.5,Partly Cloudy,8.9,1,High,1
2024,9,25,13,27.4,1.64,22.6,7.5,Clear,7.8,7,Medium,0
2024,9,26,13,26.7,0.4,31.6,4.3,Windy,7.7,1,Medium,1
2024,9,27,13,26.9,1.1,14.2,5.1,Windy,9.1,0,Medium,1
2024,9,28,13,26.2,0.41,19.6,3.5,Clear,8.6,1,Medium,1
2024,9,29,13,23.7,0.65,37.3,3.3,Windy,10.1,1,High,0
2024,9,30,13,26.8,0.21,28.0,0.9,Windy,5.6,0,High,1
2025,7,1,1,25.9,0.56,20.7,3.9,Clear,8.3,3,High,0
2025,7,2,1,27.4,0.96,13.8,4.9,Clear,8.4,2,Medium,1
2025,7,3,1,24.2,0.48,5.1,2.7,Clear,10.4,1,Low,1
2025,7,4,1,28.6,0.63,27.3,3.7,Clear,9.4,5,Medium,0
2025,7,5,1,28.3,0.46,25.1,4.1,Clear,11.4,2,Medium,0
2025,7,6,1,28.1,0.5,1.2,2.0,Partly Cloudy,9.2,0,Medium,1
2025,7,7,1,26.4,0.53,14.5,0.8,Clear,8.4,0,Medium,1
2025,7,8,2,25.7,0.78,8.1,2.3,Clear,8.0,0,Low,1
2025,7,9,2,27.8,0.37,21.8,6.0,Clear,8.8,0,Medium,1
2025,7,10,2,27.3,0.64,0.7,2.0,Partly Cloudy,10.6,1,Medium,1
2025,7,11,2,24.3,0.03,20.1,2.6,Partly Cloudy,10.4,2,Medium,0
2025,7,12,2,25.8,1.24,25.2,6.0,Clear,7.7,1,Medium,1
2025,7,13,2,27.1,0.53,27.8,5.5,Clear,8.9,5,High,0
2025,7,14,2,26.5,0.14,18.9,2.3,Clear,8.7,0,Medium,1
2025,7,15,3,26.7,0.19,28.1,2.5,Partly Cloudy,9.7,0,Medium,1
2025,7,16,3,27.5,1.0,23.6,5.7,Windy,8.6,3,Medium,0
2025,7,17,3,27.7,1.05,9.3,3.7,Clear,7.6,0,Medium,1
2025,7,18,3,26.0,0.38,16.3,1.1,Partly Cloudy,7.8,0,Medium,1
2025,7,19,3,26.5,0.71,11.5,3.7,Clear,9.0,2,Low,0
2025,7,20,3,25.9,0.5,30.8,5.1,Clear,8.6,6,High,0
2025,7,21,3,24.6,0.15,8.4,1.4,Partly Cloudy,11.4,0,Medium,1
2025,7,22,4,26.8,0.28,13.0,2.0,Clear,8.3,1,Medium,1
2025,7,23,4,26.3,0.16,16.4,4.4,Clear,10.7,1,Medium,0
2025,7,24,4,28.9,1.66,6.0,5.8,Clear,9.7,2,Low,0
2025,7,25,4,27.2,0.45,21.0,3.4,Clear,9.4,1,Medium,1
2025,7,26,4,27.8,0.7,13.2,4.9,Windy,8.6,3,High,0
2025,7,27,4,27.9,0.52,16.9,4.3,Clear,10.0,0,Medium,1
2025,7,28,4,26.7,0.98,26.8,5.2,Clear,7.9,2,High,1
2025,7,29,5,25.9,0.94,22.1,5.8,Clear,10.2,4,Medium,0
2025,7,30,5,27.4,0.06,4.9,0.5,Clear,8.2,0,High,1
2025,8,1,5,28.0,0.84,14.3,3.7,Clear,10.0,0,Low,1
2025,8,2,5,29.1,0.2,19.7,2.7,Windy,8.1,1,Medium,1
2025,8,3,5,28.1,0.61,4.8,3.5,Partly Cloudy,4.5,1,Low,1
2025,8,4,5,28.2,0.92,10.2,4.3,Partly Cloudy,9.8,1,High,1
2025,8,5,5,25.8,0.59,20.7,2.9,Clear,7.8,0,Medium,1
2025,8,6,6,29.3,0.98,9.7,3.1,Clear,10.7,0,Medium,1
2025,8,7,6,29.2,0.33,24.4,3.6,Windy,8.9,1,High,0
2025,8,8,6,30.4,0.81,11.5,3.8,Partly Cloudy,9.1,2,Low,0
2025,8,9,6,27.5,0.66,21.3,4.0,Clear,6.8,0,Medium,1
2025,8,10,6,25.2,1.09,15.4,4.4,Partly Cloudy,9.7,2,Medium,0
2025,8,11,6,27.1,0.43,28.2,4.9,Clear,7.2,1,High,1
2025,8,12,6,30.0,0.38,16.7,2.9,Clear,7.5,1,Medium,1
2025,8,13,7,27.7,0.46,24.2,1.4,Partly Cloudy,9.0,1,Medium,1
2025,8,14,7,27.7,0.89,23.7,5.5,Clear,9.0,0,High,1
2025,8,15,7,27.6,0.37,18.8,4.5,Clear,10.5,2,High,0
2025,8,16,7,26.4,0.51,29.9,2.9,Clear,7.8,0,Medium,1
2025,8,17,7,27.8,1.82,31.8,7.3,Stormy,8.4,5,Medium,0
2025,8,18,7,27.6,0.28,7.9,1.4,Clear,9.7,0,High,1
2025,8,19,7,27.0,1.44,5.1,5.0,Clear,8.2,2,Medium,0
2025,8,20,8,28.3,0.67,35.4,4.2,Stormy,9.9,3,Medium,0
2025,8,21,8,28.2,0.34,21.4,3.2,Partly Cloudy,8.9,1,Medium,1
2025,8,22,8,26.5,0.69,8.4,2.9,Clear,11.3,0,Medium,1
2025,8,23,8,28.8,0.09,22.5,0.4,Windy,8.8,0,Medium,1
2025,8,24,8,27.0,0.99,30.4,5.1,Stormy,8.7,5,High,0
2025,8,25,8,25.6,0.96,8.3,4.4,Clear,6.7,0,Low,1
2025,8,26,8,28.0,0.44,23.5,3.8,Clear,9.9,2,Medium,0
2025,8,27,9,27.8,0.97,17.0,6.1,Clear,9.6,1,High,1
2025,8,28,9,26.4,0.6,31.0,5.4,Windy,8.4,3,High,0
2025,8,29,9,27.3,0.07,23.5,0.0,Clear,7.4,0,Low,1
2025,8,30,9,26.7,1.09,24.6,5.5,Clear,10.7,3,Medium,0
2025,9,1,9,25.3,1.17,31.9,7.7,Clear,11.7,4,Medium,0
2025,9,2,9,26.5,1.02,10.0,3.7,Clear,9.4,1,High,1
2025,9,3,9,27.3,1.0,24.5,5.4,Partly Cloudy,10.0,2,Medium,0
2025,9,4,10,26.5,1.02,25.5,6.3,Clear,9.1,1,High,1
2025,9,5,10,25.6,0.57,5.9,1.9,Partly Cloudy,9.3,1,Medium,1
2025,9,6,10,27.6,0.5,20.2,3.8,Clear,11.1,0,High,1
2025,9,7,10,24.7,0.2,21.0,3.5,Partly Cloudy,10.0,3,Medium,0
2025,9,8,10,24.4,0.11,21.3,1.4,Partly Cloudy,7.0,0,High,1
2025,9,9,10,25.4,0.08,9.1,2.4,Clear,9.8,0,Medium,1
2025,9,10,10,25.8,0.46,7.4,1.7,Clear,9.4,0,Medium,1
2025,9,11,11,26.0,0.3,16.2,1.6,Partly Cloudy,8.0,0,Medium,1
2025,9,12,11,28.0,0.57,6.4,1.4,Partly Cloudy,7.5,0,Medium,1
2025,9,13,11,25.3,0.49,31.4,6.0,Partly Cloudy,10.8,2,Medium,0
2025,9,14,11,27.2,0.82,20.7,4.9,Partly Cloudy,7.0,2,Medium,0
2025,9,15,11,26.7,0.58,27.0,4.1,Clear,7.7,3,Medium,0
2025,9,16,11,25.8,0.61,17.3,5.1,Clear,10.9,1,Low,1
2025,9,17,11,25.1,0.32,10.7,1.2,Clear,11.6,0,Medium,1
2025,9,18,12,25.6,0.8,21.8,4.7,Clear,10.1,4,Medium,0
2025,9,19,12,27.3,1.55,21.4,4.4,Windy,8.7,2,Medium,0
2025,9,20,12,27.7,0.82,19.5,3.9,Clear,6.3,1,Low,1
2025,9,21,12,25.4,1.18,7.9,5.1,Clear,9.8,3,Medium,0
2025,9,22,12,24.8,0.64,4.7,0.2,Clear,9.8,0,High,1
2025,9,23,12,24.6,0.05,29.4,2.5,Windy,10.6,1,High,1
2025,9,24,12,23.4,0.67,19.3,3.6,Partly Cloudy,11.4,0,Medium,1
2025,9,25,13,24.8,0.9,18.9,6.3,Clear,7.9,1,Medium,1
2025,9,26,13,24.5,0.05,13.5,2.5,Clear,12.0,0,Medium,1
2025,9,27,13,25.0,0.81,12.5,2.8,Windy,7.5,1,Medium,1
2025,9,28,13,26.1,0.2,23.2,3.8,Clear,8.6,1,Low,1
2025,9,29,13,25.9,0.29,34.2,5.3,Partly Cloudy,9.4,4,High,0
2025,9,30,13,28.1,0.73,15.6,3.7,Clear,10.5,2,Medium,0
